naive,naive-sd,k-means-pp,k-means-pp-sd,k-means-ll,k-means-ll-sd
20587.188117314803,0.0,20587.1881173148,1.2126596023639042e-12,20587.1881173148,1.7149596562049982e-12
31095.966436733008,2161.0015177396026,39209.6036313549,1992.0517045161566,37673.51177916442,1875.764965192797
21621.56824615163,107.70149566847941,21194.974678847866,189.6772759703183,20959.94725370302,148.84356528560934
21313.057029691507,169.04786171066553,20846.444499646834,183.58819893858703,20623.872911687205,85.18127915976666
21039.88456182821,196.10646356591533,20671.6515552592,170.82138761623946,20509.36280863355,82.03840352914824
20873.407303806904,155.97968905823583,20527.08450365665,129.28945208041952,20439.11122405244,85.29659099363512
20713.73778817224,91.13127352935518,20434.447999811146,98.78358596245401,20388.429906392124,88.27209692578955
20573.869695866175,42.564498853985015,20386.80132415026,89.9657267460533,20342.72634973659,95.22200157989754
20488.9551736713,60.035751931410346,20352.090196823123,90.48622275977584,20312.624664098625,91.85848055620421
20432.717000537996,46.411573934808125,20333.609169309133,89.76904287209685,20261.867687811722,74.12114138533695
20380.052729530486,32.51065118113937,20305.346423445826,71.2571142546031,20180.452972671872,47.36509676944224
20352.289886798422,33.61996417618356,20207.505908044524,8.785962954384283,20133.480763356838,41.48908378556347
20329.74027141452,32.5423099926277,20169.984124894454,22.904994841837883,20104.554483799166,48.620922726039744
20315.229489827634,27.135065406407758,20155.124816954485,19.81211054742773,20094.171829154904,52.325065653281065
20309.71167064429,25.597924711015857,20139.62668842753,21.051093683846794,20082.122586311078,46.621208429250395
20304.92187084776,24.824264135603446,20132.77327216373,23.714215369869038,20070.798255475314,40.58005648531469
20299.635293599564,23.82422831674561,20128.75858423811,25.691808556631237,20050.260704317687,29.433343137140316
20292.617018166075,21.036243908908517,20128.09444766517,26.009984811389767,19993.692311184586,16.57511689869296
20282.94405610838,14.88008689048413,20128.034752498603,26.008216765887816,19975.951031799075,23.98993908706284
20272.293209041294,9.751680009871476,20127.998354006297,26.002549810144274,19970.80776956197,22.578654974619145
20249.97763671535,16.98328086653026,20127.978002116484,25.99820700920958,19966.41381112003,20.284228245279554
20229.55788823382,32.15937899298419,20127.96246166244,25.995100908901797,19961.069546346527,18.68928993694349
20225.41687421006,35.279180378297575,20127.950532277027,25.99305681130451,19955.99453838637,16.131110215166004
20223.62170304915,36.59484107345587,20127.9425649804,25.992428058672715,19951.349793224603,14.165430648969906
20222.300096452276,37.52995189788254,20127.93877579443,25.992589382462498,19947.030088086718,12.636292656187274
20221.389621274302,38.11230427552706,20127.937233780864,25.9926543609515,19941.87522393475,11.324545230868592
